timestamp,pair,rate,base
2026-05-02 04:27:09,USD/AED,3.6725,USD
2026-05-02 04:27:09,USD/PHP,61.400491,USD
2026-05-02 04:27:09,USD/BRL,4.974579,USD
2026-05-02 04:27:09,USD/NOK,9.292889,USD
2026-05-02 04:27:09,USD/KRW,1473.124555,USD
2026-05-02 04:27:09,USD/MXN,17.483295,USD
2026-05-02 04:27:09,USD/GBP,0.737317,USD
2026-05-02 05:26:40,USD/SAR,3.75,USD
2026-05-02 05:26:40,USD/GBP,0.737317,USD
2026-05-02 05:26:40,USD/IRR,1251912.535134,USD
2026-05-02 05:26:40,USD/PHP,61.400491,USD
2026-05-02 05:26:40,USD/NOK,9.292889,USD
2026-05-02 05:26:40,USD/CNY,6.83733,USD
2026-05-02 05:26:40,USD/JPY,157.08115,USD
2026-05-02 05:26:40,USD/IDR,17347.982345,USD
2026-05-02 05:26:40,USD/CAD,1.359308,USD
2026-05-02 05:26:40,USD/KWD,0.307611,USD
2026-05-02 05:26:40,USD/KRW,1473.124555,USD
2026-05-02 05:26:40,USD/BRL,4.974579,USD
2026-05-02 05:26:40,USD/INR,95.041538,USD
2026-05-02 05:26:40,USD/MXN,17.483295,USD
2026-05-02 05:26:40,USD/AED,3.6725,USD
2026-05-02 05:26:40,USD/EUR,0.852919,USD
2026-05-02 06:18:29,USD/KWD,0.307611,USD
2026-05-02 06:18:29,USD/BRL,4.974579,USD
2026-05-02 06:18:29,USD/IDR,17347.982345,USD
2026-05-02 06:18:29,USD/INR,95.041538,USD
2026-05-02 06:18:29,USD/IRR,1251912.535134,USD
2026-05-02 06:18:29,USD/JPY,157.08115,USD
2026-05-02 06:18:29,USD/SAR,3.75,USD
2026-05-02 06:18:29,USD/NOK,9.292889,USD
2026-05-02 06:18:29,USD/MXN,17.483295,USD
2026-05-02 06:18:29,USD/AED,3.6725,USD
2026-05-02 06:18:29,USD/CNY,6.83733,USD
2026-05-02 06:18:29,USD/GBP,0.737317,USD
2026-05-02 06:18:29,USD/EUR,0.852919,USD
2026-05-02 06:18:29,USD/KRW,1473.124555,USD
2026-05-02 06:18:29,USD/PHP,61.400491,USD
2026-05-02 06:18:29,USD/CAD,1.359308,USD
2026-05-02 07:05:37,USD/MXN,17.483295,USD
2026-05-02 07:05:37,USD/CAD,1.359308,USD
2026-05-02 07:05:37,USD/JPY,157.08115,USD
2026-05-02 07:05:37,USD/PHP,61.400491,USD
2026-05-02 07:05:37,USD/SAR,3.75,USD
2026-05-02 07:05:37,USD/KRW,1473.124555,USD
2026-05-02 07:05:37,USD/INR,95.041538,USD
2026-05-02 07:05:37,USD/IDR,17347.982345,USD
2026-05-02 07:05:37,USD/CNY,6.83733,USD
2026-05-02 07:05:37,USD/AED,3.6725,USD
2026-05-02 07:05:37,USD/EUR,0.852919,USD
2026-05-02 07:05:37,USD/IRR,1251912.535134,USD
2026-05-02 07:05:37,USD/NOK,9.292889,USD
2026-05-02 07:05:37,USD/KWD,0.307611,USD
2026-05-02 07:05:37,USD/GBP,0.737317,USD
